type,involved_person,datetime,operation,operation_name,location,latitude,longitude,street_id,street_name,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,removal_of_more_than_outer_clothing
Person search,True,2022-01-16T10:00:00+00:00,False,,"52.092421, 1.320400",52.092421,1.320400,1137667,On or near Hamblin Road,Female,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-16T12:30:00+00:00,False,,"52.058635, 1.139549",52.058635,1.139549,1135582,On or near Gibbons Street,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Anything to threaten or harm anyone,A no further action disposal,False,False
Person search,True,2022-01-16T13:30:00+00:00,False,,"52.058635, 1.139549",52.058635,1.139549,1135582,On or near Gibbons Street,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-16T13:30:00+00:00,False,,"52.058635, 1.139549",52.058635,1.139549,1135582,On or near Gibbons Street,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-16T16:33:00+00:00,False,,"52.058641, 1.153147",52.058641,1.153147,1135741,On or near Lloyds Avenue,Female,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,False
Person search,True,2022-01-16T18:20:00+00:00,False,,"52.473744, 1.750268",52.473744,1.750268,1143938,On or near Station Square,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
Person search,True,2022-01-16T20:30:00+00:00,False,,"52.238529, 0.705009",52.238529,0.705009,1139986,On or near Parking Area,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,False,False
Person search,True,2022-01-16T20:38:00+00:00,False,,"52.486360, 1.745551",52.486360,1.745551,1144322,On or near St Margaret'S Road,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,True,2022-01-16T20:38:00+00:00,False,,"52.486360, 1.745551",52.486360,1.745551,1144322,On or near St Margaret'S Road,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,True,2022-01-16T20:38:00+00:00,False,,"52.486360, 1.745551",52.486360,1.745551,1144322,On or near St Margaret'S Road,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False
Person search,True,2022-01-16T22:00:00+00:00,False,,"52.094876, 1.318830",52.094876,1.318830,1138128,On or near St John'S Hill,Female,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False
Person search,True,2022-01-16T22:00:00+00:00,False,,"52.092421, 1.320400",52.092421,1.320400,1137667,On or near Hamblin Road,Female,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
Person search,True,2022-01-16T23:45:00+00:00,False,,"51.989086, 1.311798",51.989086,1.311798,1134019,On or near Brick Kiln Close,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
Person search,True,2022-01-17T00:15:00+00:00,False,,"52.058719, 1.155254",52.058719,1.155254,1135717,On or near Tower Street,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False
